address,entries
0x23f1DC09dfC8Ea4eDc192B6ffD8a9b1b3E8FC656,2
0x2961dA73F6e08EeE37EC3F488e9008004F90BbDC,1
0xA315c96c0903B6A5F0c997FDc6B257851017590B,2
0x7C75795F49471C75Ba402436Dd60Edf93343780F,2
0x20FcD9DfD9b848da499C2a925Fb3ace5deEF5C2C,2
0x33DF8400B73136c3eD3D658a4384353f5d903Eab,2
0x02Fb9e01750f81fe010dA6C1C917A5a94311E931,2
0xb666696a89FEB87C94B08cFF5ba5d01561743bfa,2
0xCd0A87c465F768CF17A59E8b85691810a368e68A,2
0x3A55850f6583D8788E5E7A6e8254b5e229399A64,2
0xa8175671dB9edBf690Ec640D711fE6A82a04d1e6,2
0xD5BB8081977fB95355eAE4f838181D262a5fCCE3,2
0xe3c7D7ea4E8aB3081774F067ACD3f5AFB5404029,2
0x5b7df8650a3a956B81377c08518977835EbC7Cdb,2
0xF45C8C6997A25f7c48498859363850B068fFfb1E,2
0x8B04c6f0dbA7ce901BFf334B598f2Ae3FC91428c,2
0x1775263873293DA7c93661Bb3CE0d6A8A64CB92F,2
0x0d2d69d8A4f77dA58738f74897Dd61448bA0bB80,2
0xdA4685Ad99E734110418825C7cd4F76D28c43b50,2
0x2b560390305ae2Fc2ab3f341eBe77FEb01D98Ec1,2
0x7f3DB8af806315531d7C14B35f4af1DF78F887E0,2
0xD2E6Ef39F4A6d4BE576C2BD891a2FE8D3D8Aec81,2
0xE2A21305c422eA7989799ce5d59341909658f171,2
0x8474E32b27A1E907fe6182092F69EbbC0043c019,2
0xaf8710C7ae13E92261c8c28735ab81f81498Af0c,2
0x457A1e7Eb477a5FF5aA9F364010ac94b9864394b,2
0x68a125B7B70c99104C7f3e2357635FC57D728216,2
0xBA28b4bdabedef7a9154b16387E7C456cF8184a3,2
0xd542c69f511C7d37F7d497d0F1e31f56bA01C7e7,2
0x21BF63C0418D4f1D13f884C50498B2259B321b43,2
0xb0EB5A31cA1F3F6213468c753F8EFD7EC95B80Cd,2
0x5dDeF75a8C992d0fdcb55cCC0195E70698113573,2
0x22F4125A9D619379A0b2d535fA6cF16D08Cb4A3D,2
0x20AF97eAA59540dE5CD10fA4f7Add6Cdd97ACAf4,2
0x614971bfe55692C315344008B0B7e0D35D586F19,1
0x4e848a0A56426FE50C9Ae5a78C576faeCe5D3213,2
0xBa89Ff45434B354a78eB73FC57B7A7Ae27aF4a6D,2
0x0d377113DdD840b8065841b2F3Bc7324e2f999c2,2
0x1F5A1bf9891c9Db71585fBb24AB972541fe25b8d,2
